,ligand,pK(ref),pK($Δ_{Vina}RF_{20}$),pK($AutoDock 4.2$),pK($∆SAS$),pK($DrugScoreX$),pK($AutoDock Vina$),pK($X-Score$),pK($NNScore 2.0$),pK($AutoDock VinaXB$)
0,1afk_ligand,6.62,5.08,6.0848,307.563782,-98.731,3.882874,5.25,6.86,3.882874
1,1afl_ligand,6.28,3.01,3.3216,307.190948,-80.935,1.009201,5.07,7.845,1.009201
2,1a30_ligand,4.3,4.83,1.2804,366.202179,-106.796,3.664707,5.73,2.951,3.664707
3,1a9m_ligand,6.92,7.21,5.6202,630.405945,-185.094,5.460528,7.32,6.37,5.460528
4,1a1e_ligand,6.0,5.15,5.7828,352.669922,-115.126,4.217273,5.84,7.948,4.217273
5,1aaq_ligand,8.4,6.9,4.4203,610.080383,-175.173,4.732067,7.57,7.748,4.732067
6,1a28_ligand,8.29,8.86,8.1603,383.061905,-142.54,7.942383,7.54,8.231,7.942383
7,1adl_ligand,5.36,6.51,3.6979,403.746216,-98.761,4.052309,5.88,5.754,4.052309
8,1a94_ligand,7.85,7.36,6.7087,767.424561,-245.069,5.362163,8.27,7.962,5.362163
9,1a4w_ligand,5.92,6.54,6.5667,511.055206,-149.522,5.762031,6.8,6.448,5.762031
10,1a4r_ligand,6.66,4.92,5.2479,312.251373,-115.779,4.92967,5.56,5.31,4.92967
11,1aid_ligand,4.82,5.49,3.6864,388.736908,-93.312,4.839846,6.36,4.385,4.839846
12,1ajx_ligand,7.91,8.54,7.4856,551.295044,-227.022,8.2211,8.44,8.208,8.2211
13,1ajv_ligand,7.72,8.57,8.6663,581.697845,-249.41,8.436085,8.73,7.148,8.436085
14,1a99_ligand,5.7,4.59,5.1771,178.607788,-47.415,2.900213,4.71,6.009,2.900213
15,1alw_ligand,6.52,3.68,2.2328,195.931076,-41.137,2.8575,4.83,4.224,2.8575
16,1aj7_ligand,3.87,4.61,4.4514,299.06041,-78.658,4.127038,5.46,5.537,4.127038
17,1a9q_ligand,6.17,4.02,2.8207,160.013451,-53.285,3.278526,4.62,4.513,3.278526
18,1apv_ligand,9.0,8.21,5.3323,484.688538,-158.228,5.974619,7.28,7.403,5.974619
19,1amw_ligand,4.54,4.17,1.8278,324.227951,-75.084,3.975169,5.09,2.09,3.975169
20,1ai4_ligand,2.5,3.53,2.994,214.461197,-53.134,3.594113,5.13,4.158,3.594113
21,1ai7_ligand,4.09,3.66,2.6171,158.309639,-43.016,3.400806,5.02,3.301,3.400806
22,1atr_ligand,6.96,5.38,2.1026,391.345886,-147.178,6.812676,6.41,3.719,6.812676
