Receptor	Ligand	Score(pK)	Energy	gauss_1	gauss_2	repulsion	hydrophobic	Hydrogen	Cl	Br	I
1a1e_protein	1a1e_ligand	4.217273	-5.752360	83.05499	1184.08033	5.34527	29.57451	8.27099	0.00000	0.00000	0.00000	
1a4r_protein	1a4r_ligand	4.929670	-6.724070	118.70476	1290.96863	5.88377	0.00000	6.36075	0.00000	0.00000	0.00000	
1a4w_protein	1a4w_ligand	5.762031	-7.859410	99.07987	1833.43229	5.09982	44.20834	6.11568	0.00000	0.00000	0.00000	
1a9m_protein	1a9m_ligand	5.460528	-7.448160	111.66437	2157.35141	4.69915	42.92972	5.60700	0.00000	0.00000	0.00000	
1a28_protein	1a28_ligand	7.942383	-10.833410	65.89328	1526.12764	1.58133	51.55544	1.31917	0.00000	0.00000	0.00000	
1a9q_protein	1a9q_ligand	3.278526	-4.471910	53.10102	629.82873	1.23433	0.00000	0.63408	0.00000	0.00000	0.00000	
1a30_protein	1a30_ligand	3.664707	-4.998660	85.68172	1306.81599	4.71110	20.49321	3.59471	0.00000	0.00000	0.00000	
1a94_protein	1a94_ligand	5.362163	-7.313990	141.40949	2738.50055	7.04736	61.35705	7.02645	0.00000	0.00000	0.00000	
1a69_protein	1a69_ligand	5.327969	-7.267350	96.69260	1201.34539	4.23877	0.00000	4.56535	0.00000	0.00000	0.00000	
1a99_protein	1a99_ligand	2.900213	-3.955890	54.58307	456.23864	2.56601	27.17767	3.03622	0.00000	0.00000	0.00000	
1aaq_protein	1aaq_ligand	4.732067	-6.454540	106.06796	1982.93311	9.08323	47.27405	8.89561	0.00000	0.00000	0.00000	
1adl_protein	1adl_ligand	4.052309	-5.527350	47.27983	1216.89176	1.07022	49.83544	2.12305	0.00000	0.00000	0.00000	
1ado_protein	1ado_ligand	2.746716	-3.746520	52.29359	541.94703	2.19161	0.00000	3.26467	0.00000	0.00000	0.00000	
1afk_protein	1afk_ligand	3.882874	-5.296240	98.55001	1193.96832	6.68562	0.00000	6.62080	0.00000	0.00000	0.00000	
1afl_protein	1afl_ligand	1.009201	-1.376550	104.18882	1219.23353	13.46347	0.00000	5.81024	0.00000	0.00000	0.00000	
1ai4_protein	1ai4_ligand	3.594113	-4.902370	51.28903	767.14014	2.11982	28.06245	1.32519	0.00000	0.00000	0.00000	
1ai5_protein	1ai5_ligand	4.070799	-5.552570	57.47695	833.52757	2.23207	34.20438	1.46651	0.00000	0.00000	0.00000	
1ai7_protein	1ai7_ligand	3.400806	-4.638700	48.02000	507.13700	1.06912	38.57557	0.00000	0.00000	0.00000	0.00000	
1aid_protein	1aid_ligand	4.839846	-6.601550	46.02739	1230.51399	0.60260	46.56974	0.00000	0.00000	0.00000	0.00000	
1aj7_protein	1aj7_ligand	4.127038	-5.629280	85.89389	1242.88250	3.46227	22.10014	1.57956	0.00000	0.00000	0.00000	
1ajn_protein	1ajn_ligand	3.831628	-5.226340	49.54326	842.24274	2.01932	32.58991	1.00000	0.00000	0.00000	0.00000	
1ajp_protein	1ajp_ligand	3.577185	-4.879280	53.61586	770.44483	2.06526	21.21977	1.44255	0.00000	0.00000	0.00000	
1ajq_protein	1ajq_ligand	3.569758	-4.869150	59.62505	621.96007	2.44769	19.79757	2.51401	0.00000	0.00000	0.00000	
1ajv_protein	1ajv_ligand	8.436085	-11.506820	141.38163	2269.51637	5.33331	85.72946	6.20189	0.00000	0.00000	0.00000	
1ajx_protein	1ajx_ligand	8.221100	-11.213580	120.04370	2172.01670	3.23365	74.31223	5.21527	0.00000	0.00000	0.00000	
1alw_protein	1alw_ligand	2.857500	-3.897630	29.05141	579.54948	0.44902	29.99468	0.00000	0.00000	0.00000	0.00000	
1amk_protein	1amk_ligand	1.032104	-1.407790	49.99097	590.99136	7.24418	0.00000	4.98589	0.00000	0.00000	0.00000	
1apv_protein	1apv_ligand	5.974619	-8.149380	114.47765	1668.79102	4.98393	40.56806	9.16282	0.00000	0.00000	0.00000	
1amw_protein	1amw_ligand	3.975169	-5.422130	70.82712	1303.75030	3.42871	0.00000	2.45823	0.00000	0.00000	0.00000	
1atr_protein	1atr_ligand	6.812676	-9.292490	134.12229	1643.82088	5.75172	0.00000	8.42767	0.00000	0.00000	0.00000	
1ax0_protein	1ax0_ligand	3.778842	-5.154340	50.39785	768.92764	3.03025	3.42673	5.15141	0.00000	0.00000	0.00000	
1b0h_protein	1b0h_ligand	6.967588	-9.503790	165.58941	2210.03825	9.37016	66.76587	11.77329	0.00000	0.00000	0.00000	
1b1h_protein	1b1h_ligand	6.308805	-8.605210	157.31402	1991.47777	7.60757	49.52913	10.57277	0.00000	0.00000	0.00000	
1b3f_protein	1b3f_ligand	5.572163	-7.600430	139.00860	1894.86774	8.55699	20.54174	11.38614	0.00000	0.00000	0.00000	
1b2h_protein	1b2h_ligand	5.818460	-7.936380	131.99469	1767.84437	6.22340	24.32871	11.66429	0.00000	0.00000	0.00000	
1b3g_protein	1b3g_ligand	5.577918	-7.608280	127.45929	1727.11422	7.34001	33.85126	11.04205	0.00000	0.00000	0.00000	
