Receptor	Ligand	XScore_Score_pK	Energy	HPScore	HMScore	HSScore
1aaq_protein	1aaq_ligand	7.570000	-10.320000	7.11	8.15	7.44	
1adl_protein	1adl_ligand	5.880000	-8.020000	5.69	6.47	5.47	
1a94_protein	1a94_ligand	8.270000	-11.290000	8.01	8.84	7.97	
1a4w_protein	1a4w_ligand	6.800000	-9.280000	6.76	7.29	6.36	
1a9m_protein	1a9m_ligand	7.320000	-9.990000	7.27	7.34	7.36	
1a30_protein	1a30_ligand	5.730000	-7.820000	5.69	5.88	5.62	
1a1e_protein	1a1e_ligand	5.840000	-7.970000	5.65	6.20	5.68	
1afl_protein	1afl_ligand	5.070000	-6.920000	5.12	5.23	4.88	
1a28_protein	1a28_ligand	7.540000	-10.280000	7.72	7.61	7.28	
1afk_protein	1afk_ligand	5.250000	-7.160000	5.25	5.44	5.05	
1aid_protein	1aid_ligand	6.360000	-8.680000	5.99	7.19	5.92	
1ajx_protein	1ajx_ligand	8.440000	-11.510000	8.00	9.35	7.97	
1ajv_protein	1ajv_ligand	8.730000	-11.900000	8.45	9.33	8.40	
1a4r_protein	1a4r_ligand	5.560000	-7.580000	5.57	5.73	5.38	
1alw_protein	1alw_ligand	4.830000	-6.590000	4.81	5.03	4.65	
1aj7_protein	1aj7_ligand	5.460000	-7.440000	5.45	5.57	5.35	
1apv_protein	1apv_ligand	7.280000	-9.930000	6.80	7.81	7.24	
1amk_protein	1amk_ligand	4.680000	-6.380000	4.58	4.94	4.52	
1amw_protein	1amw_ligand	5.090000	-6.950000	5.15	5.20	4.92	
1atr_protein	1atr_ligand	6.410000	-8.740000	6.33	6.67	6.22	
1ax0_protein	1ax0_ligand	5.010000	-6.840000	4.90	5.19	4.96	
1a99_protein	1a99_ligand	4.710000	-6.420000	4.80	4.85	4.46	
1a9q_protein	1a9q_ligand	4.620000	-6.310000	4.59	4.78	4.50	
1b0h_protein	1b0h_ligand	7.980000	-10.890000	8.21	7.84	7.90	
1b1h_protein	1b1h_ligand	7.340000	-10.010000	7.49	7.23	7.30	
1b2h_protein	1b2h_ligand	6.600000	-9.000000	6.68	6.73	6.38	
1ai7_protein	1ai7_ligand	5.020000	-6.840000	4.98	5.18	4.89	
1ai4_protein	1ai4_ligand	5.130000	-6.990000	5.14	5.29	4.94	
1ajp_protein	1ajp_ligand	5.050000	-6.880000	5.05	5.22	4.87	
1b3f_protein	1b3f_ligand	6.700000	-9.140000	6.82	6.77	6.52	
1ajq_protein	1ajq_ligand	4.920000	-6.710000	4.91	5.01	4.83	
1b3h_protein	1b3h_ligand	7.360000	-10.030000	7.39	7.41	7.27	
1b3g_protein	1b3g_ligand	6.900000	-9.410000	6.82	7.12	6.74	
1b3l_protein	1b3l_ligand	6.060000	-8.270000	6.10	6.23	5.86	
1b6j_protein	1b6j_ligand	8.590000	-11.710000	8.22	9.16	8.38	
1b6l_protein	1b6l_ligand	7.940000	-10.830000	7.55	8.37	7.89	
1b6k_protein	1b6k_ligand	8.820000	-12.040000	8.37	9.48	8.62	
1b4h_protein	1b4h_ligand	6.500000	-8.860000	6.52	6.69	6.28	
1b8n_protein	1b8n_ligand	5.960000	-8.130000	5.90	6.19	5.79	
1b8o_protein	1b8o_ligand	5.730000	-7.820000	5.72	5.92	5.57	
1b4z_protein	1b4z_ligand	6.560000	-8.950000	6.64	6.65	6.39	
1b38_protein	1b38_ligand	6.180000	-8.430000	6.13	6.45	5.98	
1b5h_protein	1b5h_ligand	6.310000	-8.600000	6.36	6.46	6.10	
1b5i_protein	1b5i_ligand	6.440000	-8.780000	6.54	6.51	6.27	
1b5j_protein	1b5j_ligand	6.680000	-9.110000	6.77	6.77	6.49	
1b05_protein	1b05_ligand	6.480000	-8.840000	6.44	6.59	6.41	
1bai_protein	1bai_ligand	8.140000	-11.100000	7.81	8.84	7.76	
1b6h_protein	1b6h_ligand	6.780000	-9.250000	6.71	7.00	6.65	
1bdq_protein	1bdq_ligand	8.200000	-11.190000	7.78	8.82	8.00	
1b7h_protein	1b7h_ligand	6.960000	-9.500000	6.91	7.13	6.85	
1bhf_protein	1bhf_ligand	5.780000	-7.880000	5.75	5.73	5.86	
1bcu_protein	1bcu_ligand	5.330000	-7.270000	5.28	5.16	5.55	
1b9j_protein	1b9j_ligand	7.050000	-9.610000	6.90	7.32	6.92	
1b32_protein	1b32_ligand	6.700000	-9.140000	6.76	6.82	6.52	
1a69_protein	1a69_ligand	5.650000	-7.700000	5.60	5.84	5.50	
1b40_protein	1b40_ligand	7.440000	-10.140000	7.51	7.48	7.32	
1bhx_protein	1bhx_ligand	6.660000	-9.090000	6.65	6.99	6.35	
1bju_protein	1bju_ligand	6.030000	-8.230000	5.74	6.32	6.04	
1bjv_protein	1bjv_ligand	6.090000	-8.310000	5.81	6.34	6.14	
1b46_protein	1b46_ligand	6.760000	-9.230000	6.74	6.96	6.59	
1bv7_protein	1bv7_ligand	9.980000	-13.610000	9.77	11.09	9.07	
1bma_protein	1bma_ligand	7.070000	-9.640000	6.87	7.43	6.91	
1bv9_protein	1bv9_ligand	9.980000	-13.610000	9.60	11.18	9.14	
1bty_protein	1bty_ligand	5.050000	-6.890000	4.96	5.00	5.19	
1bwa_protein	1bwa_ligand	9.760000	-13.320000	9.46	10.70	9.13	
1bgq_protein	1bgq_ligand	6.210000	-8.470000	6.03	6.49	6.12	
1b52_protein	1b52_ligand	6.550000	-8.940000	6.49	6.72	6.46	
1br6_protein	1br6_ligand	6.050000	-8.250000	5.91	6.45	5.78	
1bm7_protein	1bm7_ligand	6.220000	-8.490000	6.09	6.69	5.89	
1b51_protein	1b51_ligand	6.260000	-8.540000	6.31	6.41	6.06	
1b58_protein	1b58_ligand	7.360000	-10.040000	7.41	7.48	7.19	
1bwb_protein	1bwb_ligand	10.340000	-14.100000	9.93	11.27	9.82	
1bxo_protein	1bxo_ligand	8.280000	-11.300000	7.91	8.81	8.12	
1c5p_protein	1c5p_ligand	5.070000	-6.920000	4.98	5.04	5.20	
1c5q_protein	1c5q_ligand	5.480000	-7.480000	5.22	5.74	5.48	
1bxq_protein	1bxq_ligand	7.830000	-10.670000	7.55	8.28	7.64	
1bzj_protein	1bzj_ligand	6.540000	-8.920000	6.55	7.14	5.93	
1c4u_protein	1c4u_ligand	6.850000	-9.350000	6.76	7.16	6.63	
1c5o_protein	1c5o_ligand	4.900000	-6.690000	4.85	4.84	5.03	
1c5n_protein	1c5n_ligand	5.330000	-7.270000	5.07	5.55	5.36	
1ado_protein	1ado_ligand	4.220000	-5.760000	4.24	4.36	4.07	
1c5s_protein	1c5s_ligand	5.220000	-7.130000	5.15	5.19	5.33	
1c70_protein	1c70_ligand	9.150000	-12.480000	8.89	9.57	8.99	
1c5t_protein	1c5t_ligand	5.180000	-7.070000	5.12	5.27	5.16	
1c5c_protein	1c5c_ligand	6.450000	-8.800000	6.31	6.97	6.07	
1c5y_protein	1c5y_ligand	5.230000	-7.130000	5.18	5.28	5.22	
1c5x_protein	1c5x_ligand	5.570000	-7.600000	5.32	5.78	5.61	
1ceb_protein	1ceb_ligand	5.120000	-6.980000	5.13	5.40	4.82	
1c83_protein	1c83_ligand	5.910000	-8.060000	5.98	6.13	5.63	
1c84_protein	1c84_ligand	6.430000	-8.780000	6.38	6.99	5.93	
1bp0_protein	1bp0_ligand	5.320000	-7.260000	5.21	5.57	5.19	
1c86_protein	1c86_ligand	5.890000	-8.040000	5.83	6.21	5.63	
1d4h_protein	1d4h_ligand	9.130000	-12.450000	8.97	9.68	8.73	
1c87_protein	1c87_ligand	5.830000	-7.960000	5.79	6.14	5.57	
1d4i_protein	1d4i_ligand	9.400000	-12.830000	9.33	9.92	8.97	
1c88_protein	1c88_ligand	6.050000	-8.250000	5.98	6.39	5.78	
1d3d_protein	1d3d_ligand	7.290000	-9.950000	7.15	7.49	7.24	
1d4l_protein	1d4l_ligand	8.310000	-11.340000	7.93	8.91	8.09	
1d4k_protein	1d4k_ligand	9.040000	-12.330000	8.77	9.55	8.79	
1d4j_protein	1d4j_ligand	8.970000	-12.240000	8.84	9.41	8.68	
1d3p_protein	1d3p_ligand	7.060000	-9.630000	6.97	7.31	6.91	
1d4y_protein	1d4y_ligand	8.200000	-11.190000	7.88	8.85	7.87	
1d7i_protein	1d7i_ligand	4.120000	-5.620000	4.15	4.20	4.00	
1d7j_protein	1d7j_ligand	4.270000	-5.820000	4.32	4.21	4.27	
1det_protein	1det_ligand	4.820000	-6.570000	4.80	5.00	4.66	
1d4p_protein	1d4p_ligand	6.950000	-9.480000	6.87	7.19	6.79	
1c3x_protein	1c3x_ligand	5.080000	-6.920000	4.79	5.42	5.03	
1dif_protein	1dif_ligand	9.390000	-12.810000	9.11	10.18	8.90	
1d6w_protein	1d6w_ligand	6.840000	-9.330000	6.82	7.03	6.68	
1d9i_protein	1d9i_ligand	6.420000	-8.760000	6.36	6.60	6.30	
1dl7_protein	1dl7_ligand	5.010000	-6.830000	5.03	5.09	4.89	
1dmp_protein	1dmp_ligand	8.640000	-11.790000	8.41	9.53	8.00	
1dhi_protein	1dhi_ligand	6.100000	-8.320000	6.14	6.44	5.73	
1dhj_protein	1dhj_ligand	6.190000	-8.440000	6.23	6.51	5.83	
1dgm_protein	1dgm_ligand	4.830000	-6.590000	4.84	4.95	4.69	
1df8_protein	1df8_ligand	6.010000	-8.200000	6.10	6.15	5.79	
1bq4_protein	1bq4_ligand	5.020000	-6.850000	4.94	5.20	4.92	
1bzy_protein	1bzy_ligand	6.730000	-9.180000	6.60	7.09	6.51	
1e3v_protein	1e3v_ligand	6.480000	-8.830000	6.22	7.20	6.01	
1e1v_protein	1e1v_ligand	5.610000	-7.660000	5.56	5.55	5.73	
1e1x_protein	1e1x_ligand	5.580000	-7.620000	5.51	5.58	5.67	
1dud_protein	1dud_ligand	5.210000	-7.100000	5.19	5.34	5.09	
1e3g_protein	1e3g_ligand	7.440000	-10.150000	7.76	7.33	7.23	
1dqn_protein	1dqn_ligand	5.860000	-8.000000	5.76	6.17	5.66	
1ebw_protein	1ebw_ligand	8.600000	-11.730000	8.29	9.30	8.22	
1eby_protein	1eby_ligand	9.390000	-12.800000	9.23	9.97	8.95	
1e4h_protein	1e4h_ligand	5.570000	-7.590000	4.95	6.26	5.49	
1eb2_protein	1eb2_ligand	7.160000	-9.770000	7.11	7.22	7.16	
1ebz_protein	1ebz_ligand	8.980000	-12.250000	8.66	9.76	8.52	
1e5j_protein	1e5j_ligand	5.680000	-7.750000	5.73	5.86	5.46	
1ec0_protein	1ec0_ligand	9.460000	-12.910000	9.39	9.89	9.12	
1ec1_protein	1ec1_ligand	9.290000	-12.670000	8.89	10.38	8.60	
1ec2_protein	1ec2_ligand	9.400000	-12.820000	8.87	10.56	8.76	
1ec3_protein	1ec3_ligand	8.830000	-12.040000	8.46	9.61	8.43	
