PDBcode,is_drug,has_clinical_trials,LE,Vina_dLE
1afk,False,False,0.29006075839945256,0.11992943253698791
1afl,False,False,0.2751633780586952,0.2309444041255402
1a30,False,False,0.22464036192567408,0.03318894173229003
1a9m,False,False,0.22379453996493512,0.04719969144966818
1a1e,False,False,0.21446693060223476,0.06372266463195504
1aaq,False,False,0.2782839197082656,0.1215150919603926
1a28,True,True,0.48957516288634767,0.020528908250550405
1adl,False,False,0.33092897291714524,0.08073747006026019
1a94,False,False,0.17770968166290727,0.05632009188524868
1a4w,False,False,0.1914542885249156,0.005108757179728458
1a4r,False,False,0.3230791118857951,0.0839389609113135
1aid,False,False,0.2257572586730191,-0.0009295391194241643
1ajx,False,False,0.26860195833508216,-0.010564104834139564
1ajv,False,False,0.2557561738271203,-0.023723207219558708
1a99,False,True,1.290376032456779,0.6338207089094857
1alw,False,False,0.7380045378612455,0.4145615981467503
1aj7,False,False,0.26282922345303866,-0.017456614454243402
1a9q,False,False,0.838065275816666,0.39274618400757183
1apv,False,False,0.33957264012020505,0.1141485126155007
1amw,False,False,0.2283940423919601,0.028414985761738554
1ai4,False,False,0.28297720010017086,-0.12384361333327924
1ai7,True,True,0.793629770338079,0.13373224350571672
1atr,False,False,0.3501371222572781,0.007411436982676989
1ax0,False,False,0.2834299636203311,-0.05875439758956637
1ajp,False,False,0.2524156624893524,-0.15248905572677937
1ajq,False,False,0.650470257296926,0.11171819123016036
1b0h,False,False,0.2676631398594558,-0.010690066308762973
1b1h,False,False,0.30802524645742463,0.03159975357309564
1b2h,False,False,0.2283940423919601,-0.0643155611093448
1a69,False,False,0.3788915773972814,-0.001999475194004627
1ado,False,False,0.8149743362884921,0.4418904947763284
1b3g,False,False,0.3370572872304258,0.05644864402538667
1b3f,False,False,0.3227111021280292,0.06172432956387447
1b3h,False,False,0.2811661460195297,0.00609704939153423
1b3l,False,False,0.34784049570574044,0.054289633524080505
1b6k,False,False,0.24227468364494625,0.025057328456517352
1b6j,False,False,0.21954410691853257,-0.00789435701729899
1b4z,False,False,0.2631059122709144,-0.024205643314808525
1b4h,False,False,0.2852410177009722,0.020051085253817894
1b5h,False,False,0.32653305073958916,0.05312828564589164
1b6l,False,False,0.2890720936407899,0.002738731705486376
1b5i,False,False,0.3546647574588808,0.07620744527341215
1b5j,False,False,0.36043210229901756,0.07368561355326099
1b05,False,False,0.38684115162493754,0.12238676068209475
1b8n,False,False,0.7131025442524306,0.2826877710199084
1b8o,False,True,0.7577831547945628,0.31582979261197724
1b6h,False,False,0.40853200703692366,0.12174018720949477
1b38,False,False,0.28918444190881976,0.043089533424202915
1bdq,False,False,0.22080928598585642,-0.01425623461521265
1b7h,False,False,0.40346260352059915,0.13050475827922836
1bcu,True,True,0.2784495648985681,-0.13040625077168239
1bhf,False,False,0.13220694788679982,0.002443504349835616
1b9j,False,False,0.29983006446169214,0.009920903946694109
1bai,False,False,0.1743139552617052,0.060997274877560355
1b32,False,False,0.35718011034866004,0.08120424409601655
1b51,False,False,0.4004240572297457,0.11468193897520092
1b46,False,False,0.2758374676668742,-0.04276447224812275
1b40,False,False,0.32961184267667903,0.04058372978767822
1b52,False,False,0.37196264579320915,0.08750870523009098
1b58,False,False,0.28874628366350336,0.002597796420656359
1bju,False,False,0.3259897345153968,-0.05904781098880627
1bjv,False,False,0.28942037327168246,0.011973905952029459
1bhx,False,False,0.2997002397964132,0.02055295170800319
1bma,False,False,0.16850145061099903,-0.010360489737012346
1bgq,False,False,0.4656220041328252,0.1505420050675879
1bty,False,False,0.7153663618532319,0.16417884386291742
1br6,False,False,0.19016067846731485,-0.15303759349548143
1bm7,True,True,0.5107172507407883,0.1824590351603325
1bv9,False,False,0.2505291478220179,0.007663349574588346
1bv7,False,False,0.25908134764726753,0.00817472081708048
1bwa,False,False,0.21632034852101947,-0.02497280079266233
1bwb,False,False,0.18446462127820168,-0.03403243005900453
1bxo,False,False,0.3087024001092773,0.06255795484758489
1bxq,False,False,0.23312056596159192,0.05007300245429459
1bzj,False,False,0.31648170059203107,-0.09619515621117199
1bp0,False,False,0.3667384513298214,0.02188498125405105
1c4u,False,False,0.3923950508055703,0.17714206712979977
1c5p,False,False,0.7063110914500264,0.12443918601375684
1c5q,False,False,0.6645175357429244,0.17418164382992926
1c5s,False,False,0.6791452802404101,0.1668503750136233
1c5n,False,False,0.49107427955845034,0.10962157107082941
1c5o,False,False,0.5267148951197846,0.014943912746409913
1c5t,False,False,0.46408260816428015,-0.04766467958487275
1c5x,False,False,0.697952380308606,0.22954817917235903
1c5c,False,False,0.429713740952114,0.0444717295002226
1c5y,False,False,0.47540169616828704,-0.037959580339357236
1c70,False,False,0.291466516103176,0.05500793792747224
1bq4,False,False,0.29542819690457833,0.08211692731530844
1ceb,True,True,0.7408857602622656,0.35175687689059815
1c3x,False,False,0.41654243854745143,0.10892709277983896
1c83,False,False,0.3659838454628876,-0.045331664626073596
1c84,False,False,0.35744488433705796,-0.03382515238276945
1c86,False,False,0.3546647574588808,0.0021963558362975023
1bzy,False,False,0.47200596976708503,0.0878299540081308
1c88,False,False,0.39918650360797436,0.021573200748010033
1c87,False,False,0.3169344641121914,-0.006763230542980756
1d4h,False,False,0.3018423467735156,0.044984259177054634
1d4i,False,False,0.2557632225586225,-0.0034696809872503264
1d4j,False,False,0.24160232097063097,-0.002104338875774734
1d3d,False,False,0.32491739986238566,0.09043959655582096
1d3p,False,False,0.2573786472295708,0.0352500431739305
1d4k,False,False,0.24555762681633653,0.03267343973403195
1d7j,False,False,0.7470598082644511,0.28215905641924116
1d7i,False,False,0.814974336288492,0.5542452564237167
1d4l,False,False,0.27702809803294864,0.03710126442539762
1det,False,False,0.2433603920861469,0.04075494231282676
1d4y,True,True,0.3589767909842167,0.12309708713916356
1d4p,False,False,0.3169344641121913,-0.053600258413000645
1d6w,False,False,0.21879491190447803,0.04013965198499385
1d9i,False,False,0.37497051533273545,0.2057092774750588
1dif,False,False,0.24222848328574625,0.06162629923611904
1dl7,False,False,0.44076528687602606,0.30154749962312855
1dmp,False,False,0.32429187131479587,0.03003149867685497
1dhi,True,True,0.2988239233057804,0.0752337796099919
1dgm,True,True,0.36101933318042845,0.11133671810637617
1dhj,True,True,0.26960009609543545,0.0283611069028395
1df8,False,True,0.8234636522914971,0.32837718485492184
1dar,False,False,0.24061147071374525,0.04679936764721788
1dud,False,False,0.27279002089656473,-0.00754785085827181
1e1v,False,False,0.3712660865314241,0.07164439390312133
1dqn,False,False,0.4527635201602734,0.1278675491187037
1e1x,False,False,0.4444628556240017,0.13192714003134076
1e3g,False,False,0.5821245259203516,0.05466880188074653
1cet,False,False,0.1784299872631623,-0.02580245792977378
1e3v,True,True,0.21053503687452713,-0.003928127790533357
1e5j,False,False,0.11811222265050611,-0.019861958057298745
1eb2,False,False,0.23323789338542084,0.030430947675503715
1ebw,False,False,0.26722890374677005,0.06253106149979795
1eby,False,False,0.2744878840971657,0.031134538143301287
1e4h,False,False,0.9519353011369748,0.4764423731193755
1ebz,False,False,0.27756372322868933,0.052667746010699436
1ec0,False,False,0.23063773716964323,-0.015306847984170454
