FileName,SMILES
10gs_ligand.mol2,[H]c1c([H])c([H])c(C([H])([H])SC([H])([H])[C@@]([H])(C(=O)N([H])[C@@]([H])(C(=O)[O-])c2c([H])c([H])c([H])c([H])c2[H])N([H])C(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)[O-])[N+]([H])([H])[H])c([H])c1[H]
184l_ligand.mol2,[H]c1c([H])c([H])c(C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H]
185l_ligand.mol2,[H]C1=C([H])N([H])c2c([H])c([H])c([H])c([H])c21
186l_ligand.mol2,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c1[H]
187l_ligand.mol2,[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1C([H])([H])[H]
188l_ligand.mol2,[H]c1c([H])c([H])c(C([H])([H])[H])c(C([H])([H])[H])c1[H]
1a1e_ligand.mol2,[H]c1c([H])c(C([H])([H])[C@@]([H])(C(=O)N([H])[C@]([H])(C(=O)N2C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C2([H])[H])C([H])([H])C([H])([H])C(=O)[O-])N([H])C(=O)C([H])([H])[H])c([H])c([H])c1O[P+](=O)(=O)[O-]
1a28_ligand.mol2,[H]C1=C2C([H])([H])C([H])([H])[C@@]3([H])[C@]4([H])C([H])([H])C([H])([H])[C@]([H])(C(=O)C([H])([H])[H])[C@@]4(C([H])([H])[H])C([H])([H])C([H])([H])[C@]3([H])[C@@]2(C([H])([H])[H])C([H])([H])C([H])([H])C1=O
1a30_ligand.mol2,[H]N(C(=O)[C@]([H])(C([H])([H])C([H])([H])C(=O)[O-])[N+]([H])([H])[H])[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)[O-])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C(=O)[O-]
1a4k_ligand.mol2,[H]c1c([H])c(N2C(=O)[C@@]3([H])[C@]4(N([H])C(=O)OC([H])([H])C(=O)[O-])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])C4([H])[H])[C@@]3([H])C2=O)c([H])c([H])c1N([H])C(=O)C([H])([H])[H]
1a4r_ligand.mol2,[H]O[C@@]1([H])[C@@]([H])(O[H])[C@]([H])(N2C([H])=NC3=C2N=C(N([H])[H])N([H])C3=O)O[C@]1([H])C([H])([H])O[P@](=O)([O-])O[P@](=O)([O-])N([H])[H]
1a4w_ligand.mol2,[H]C1=C([H])SC(C(=O)C([H])([H])C([H])([H])[C@]2([H])N(C(=O)[C@@]([H])(N([H])S(=O)(=O)c3c([H])c([H])c([H])c4c(N(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c34)C([H])([H])C([H])([H])C([H])([H])N([H])C(N([H])[H])=[N+]([H])[H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])=N1
1a69_ligand.mol2,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(C2=NN([H])C3=C2N=C([H])N([H])C3=O)[C@]([H])(O[H])[C@]1([H])O[H]
1a94_ligand.mol2,[H]c1c([H])c([H])c(C([H])([H])[C@@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C(=O)[O-])N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(C([H])([H])C([H])([H])C([H])([H])N([H])C(N([H])[H])=[N+]([H])[H])[N+]([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H]
1a99_ligand.mol2,[H]C([H])(C([H])([H])C([H])([H])[N+]([H])([H])[H])C([H])([H])[N+]([H])([H])[H]
1a9m_ligand.mol2,[H]O[C@@]([H])(C([H])([H])[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])C(N([H])[H])=[N+]([H])[H])C([H])([H])C([H])([H])C(=O)N([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])[C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
1a9q_ligand.mol2,[H]C1=NC2=C(N=C([H])N2[H])C(=O)N1[H]
1aaq_ligand.mol2,[H]O[C@@]([H])(C([H])([H])C([H])([H])C(=O)N([H])[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)OC([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(C([H])([H])[H])[N+]([H])([H])[H])C([H])([H])[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H]
1add_ligand.mol2,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=Nc3c2nc([H])c([H])c3N([H])[H])[C@]([H])(O[H])[C@]1([H])O[H]
1adl_ligand.mol2,[H]C(=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C(=O)[O-])C([H])([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
1ado_ligand.mol2,[H]OC([H])([H])C(=O)C([H])([H])O[P+](=O)(=O)[O-]
1afk_ligand.mol2,[H]O[C@]1([H])[C@]([H])(O[P+](=O)(=O)[O-])[C@@]([H])(C([H])([H])O[P@](=O)([O-])O[P+](=O)(=O)[O-])O[C@@]1([H])N1C([H])=Nc2c(N([H])[H])nc([H])nc21
1afl_ligand.mol2,[H]O[C@@]1([H])[C@@]([H])(O[P+](=O)(=O)[O-])[C@]([H])(N2C([H])=Nc3c(N([H])[H])nc([H])nc32)O[C@]1([H])C([H])([H])O[P@](=O)([O-])O[P+](=O)(=O)[O-]
1ai4_ligand.mol2,[H]Oc1c([H])c([H])c(C([H])([H])C(=O)[O-])c([H])c1O[H]
1ai5_ligand.mol2,[H]c1c([H])c([N+](=O)[O-])c([H])c(C([H])([H])C(=O)[O-])c1[H]
1ai7_ligand.mol2,[H]Oc1c([H])c([H])c([H])c([H])c1[H]
1aid_ligand.mol2,[H]O[C@]1(c2c([H])c([H])c(Cl)c([H])c2[H])C([H])([H])C([H])([H])[N@+]([H])(C([H])([H])C([H])([H])C([H])([H])C2(c3c([H])c([H])c(F)c([H])c3[H])SC([H])([H])C([H])([H])S2)C([H])([H])C1([H])[H]
1aj7_ligand.mol2,[H]c1c([H])c([N+](=O)[O-])c([H])c([H])c1O[P@@](=O)([O-])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)[O-]
1ajn_ligand.mol2,[H]c1c([H])c(C([H])([H])C(=O)[O-])c([H])c([H])c1[N+](=O)[O-]
1ajp_ligand.mol2,[H]Oc1c([H])c([H])c(O[H])c(C([H])([H])C(=O)[O-])c1[H]
1ajq_ligand.mol2,[H]C1=C([H])C([H])=C(C([H])([H])C(=O)[O-])S1
