Receptor	Ligand	DSAS_Score_pK	buried%	ligand_sasa	protein_sasa	complex_sasa
1a9m_protein	1a9m_ligand	630.405945	75.174756	838.587280	10531.508789	10109.284180
1a1e_protein	1a1e_ligand	352.669922	46.287066	761.918945	11335.831055	11392.410156
1a28_protein	1a28_ligand	383.061905	81.276109	471.309357	13427.162109	13132.347656
1a4w_protein	1a4w_ligand	511.055206	65.519811	780.001038	12796.734375	12554.625000
1a4r_protein	1a4r_ligand	312.251373	57.550728	542.567200	21099.941406	21018.005859
1a30_protein	1a30_ligand	366.202179	70.002275	523.128967	10286.287109	10077.011719
1a94_protein	1a94_ligand	767.424561	68.072664	1127.360840	10475.082031	10067.593750
1aaq_protein	1aaq_ligand	610.080383	70.640488	863.641235	10622.177734	10265.658203
1adl_protein	1adl_ligand	403.746216	78.460815	514.583252	15125.282227	14832.373047
1afk_protein	1afk_ligand	307.563782	53.214907	577.965454	7177.812988	7140.650879
1a9q_protein	1a9q_ligand	160.013451	71.324020	224.347214	34854.375000	34758.695312
1afl_protein	1afl_ligand	307.190948	55.542685	553.071838	7245.757324	7184.447266
1a99_protein	1a99_ligand	178.607788	70.861072	252.053467	29661.458984	29556.296875
1aid_protein	1aid_ligand	388.736908	62.972448	617.312683	10499.187500	10339.026367
1aj7_protein	1aj7_ligand	299.060410	65.323257	457.816132	21462.322266	21322.017578
1ai4_protein	1ai4_ligand	214.461197	74.623454	287.391144	33098.152344	32956.621094
1a69_protein	1a69_ligand	290.607391	78.559968	369.917908	52117.695312	51906.398438
1ai7_protein	1ai7_ligand	158.309639	74.877812	211.423965	32786.425781	32681.230469
1ajv_protein	1ajv_ligand	581.697845	77.658992	749.041199	10314.655273	9900.300781
1ajx_protein	1ajx_ligand	551.295044	76.831128	717.541260	10284.726562	9899.677734
1ajp_protein	1ajp_ligand	211.571503	75.861172	278.893005	32905.785156	32761.535156
1ado_protein	1ado_ligand	151.067429	55.800320	270.728607	60728.785156	60697.378906
1alw_protein	1alw_ligand	195.931076	63.988749	306.196136	18025.490234	17939.824219
1apv_protein	1apv_ligand	484.688538	67.359685	719.552856	13725.951172	13476.126953
1ajq_protein	1ajq_ligand	188.346542	74.543760	252.665741	32583.091797	32459.064453
1amk_protein	1amk_ligand	176.194099	74.398831	236.823746	21247.439453	21131.875000
1amw_protein	1amw_ligand	324.227951	66.072994	490.711761	20604.361328	20446.617188
1atr_protein	1atr_ligand	391.345886	75.047925	521.461304	19160.009766	18898.779297
1ax0_protein	1ax0_ligand	208.854645	60.441033	345.551086	22131.419922	22059.261719
1b0h_protein	1b0h_ligand	595.022156	79.942164	744.315796	22339.765625	21894.037109
1b1h_protein	1b1h_ligand	568.693634	77.891925	730.106018	22340.216797	21932.935547
1b2h_protein	1b2h_ligand	534.240448	79.476455	672.199646	22176.660156	21780.378906
1b3f_protein	1b3f_ligand	539.526306	80.126909	673.339722	22074.294922	21668.582031
1b3g_protein	1b3g_ligand	517.877289	79.118708	654.557312	22448.605469	22067.408203
1b3h_protein	1b3h_ligand	576.114319	80.478906	715.857544	22182.812500	21746.441406
1b3l_protein	1b3l_ligand	443.882080	77.361316	573.777832	23153.529297	22839.542969
1b4h_protein	1b4h_ligand	507.289032	78.930305	642.705017	22245.451172	21873.578125
1b4z_protein	1b4z_ligand	501.705963	79.090817	634.341614	22131.070312	21762.000000
1b5h_protein	1b5h_ligand	485.685089	78.987350	614.889709	22144.318359	21787.837891
1b5i_protein	1b5i_ligand	509.693420	79.416852	641.795044	22235.929688	21858.337891
1b5j_protein	1b5j_ligand	530.835114	79.653545	666.429993	22063.585938	21668.345703
1b6j_protein	1b6j_ligand	655.287537	75.869287	863.705933	10547.923828	10101.054688
1b6k_protein	1b6k_ligand	655.315094	77.434374	846.284485	10530.008789	10065.663086
1b6l_protein	1b6l_ligand	562.044830	78.593197	715.131653	10574.372070	10165.414062
1b05_protein	1b05_ligand	489.605835	78.753991	621.690186	21877.748047	21520.226562
1b6h_protein	1b6h_ligand	514.021576	79.731875	644.687683	21968.386719	21585.031250
1b8n_protein	1b8n_ligand	302.584137	75.114163	402.832336	13063.231445	12860.895508
1b8o_protein	1b8o_ligand	290.219559	75.233493	385.758453	13192.808594	12998.127930
1b7h_protein	1b7h_ligand	543.957153	79.970242	680.199463	22299.658203	21891.943359
1b38_protein	1b38_ligand	404.755493	74.446717	543.684814	15540.553711	15274.727539
1b9j_protein	1b9j_ligand	521.632904	78.791375	662.043152	22345.480469	21964.257812
1b32_protein	1b32_ligand	536.010864	79.373390	675.302979	22158.857422	21762.138672
1b40_protein	1b40_ligand	553.247528	79.818745	693.129822	22127.402344	21714.037109
1b46_protein	1b46_ligand	484.157898	78.657992	615.522827	22111.437500	21758.644531
1bai_protein	1bai_ligand	774.508667	68.236785	1135.031006	13471.293945	13057.307617
1b51_protein	1b51_ligand	475.583496	79.076906	601.418945	22364.037109	22014.289062
1bdq_protein	1bdq_ligand	600.772583	80.314543	748.024658	10908.921875	10455.401367
1b52_protein	1b52_ligand	496.339478	78.594812	631.516846	22473.476562	22112.314453
1bcu_protein	1bcu_ligand	225.255859	63.528200	354.576172	13758.214844	13662.279297
1b58_protein	1b58_ligand	559.143555	79.132034	706.595703	22473.080078	22061.388672
1bhf_protein	1bhf_ligand	423.688599	48.852984	867.272705	6715.614746	6735.510254
1bju_protein	1bju_ligand	276.460724	62.253529	444.088440	9831.177734	9722.344727
1bjv_protein	1bjv_ligand	295.634155	53.718687	550.337646	9824.645508	9783.714844
1bhx_protein	1bhx_ligand	436.106995	68.339834	638.144653	13668.544922	13434.475586
1bma_protein	1bma_ligand	427.328705	58.635351	728.790222	11594.333984	11468.466797
1bgq_protein	1bgq_ligand	326.421280	68.322082	477.768341	20967.501953	20792.427734
1bm7_protein	1bm7_ligand	322.640472	80.389336	401.347351	20128.703125	19884.769531
1bty_protein	1bty_ligand	185.618721	74.962519	247.615372	9953.893555	9830.271484
1br6_protein	1br6_ligand	265.740387	58.463166	454.543274	13971.665039	13894.727539
1bv7_protein	1bv7_ligand	659.106537	69.848992	943.616394	10440.588867	10065.992188
1bv9_protein	1bv9_ligand	665.920837	70.434923	945.441284	10319.571289	9933.170898
1bwa_protein	1bwa_ligand	642.348755	68.053568	943.886963	10305.195312	9964.384766
1bwb_protein	1bwb_ligand	716.351013	67.011879	1068.991089	10424.346680	10060.635742
1bp0_protein	1bp0_ligand	259.674149	63.015360	412.080719	29490.849609	29383.582031
1bxo_protein	1bxo_ligand	560.907440	68.228530	822.101013	13970.685547	13670.971680
1bxq_protein	1bxq_ligand	557.153473	68.179367	817.187805	13656.029297	13358.910156
1bzj_protein	1bzj_ligand	250.465012	62.736435	399.233734	14211.047852	14109.351562
1bq4_protein	1bq4_ligand	266.027710	64.974452	409.434326	42344.671875	42222.050781
1c4u_protein	1c4u_ligand	450.947083	67.434134	668.722290	13704.644531	13471.472656
1c5c_protein	1c5c_ligand	298.959152	69.200012	432.021820	21766.984375	21601.087891
1c5n_protein	1c5n_ligand	220.528931	67.611822	326.169189	14178.755859	14063.867188
1c5o_protein	1c5o_ligand	177.082321	72.176771	245.345306	13999.625977	13890.806641
1c3x_protein	1c3x_ligand	200.067963	68.369358	292.628113	34132.382812	34024.875000
1c5p_protein	1c5p_ligand	177.264305	71.532386	247.809860	9891.273438	9784.554688
1c5q_protein	1c5q_ligand	220.537323	67.290794	327.737732	10008.446289	9895.109375
1bzy_protein	1bzy_ligand	341.311661	73.537765	464.131134	35374.375000	35155.882812
1bxr_protein	1bxr_ligand	444.549805	75.445078	589.236328	41516.050781	41216.187500
1c5s_protein	1c5s_ligand	201.781555	67.560577	298.667603	9999.733398	9894.837891
1c5t_protein	1c5t_ligand	199.957596	68.442427	292.154449	10098.810547	9991.049805
1c70_protein	1c70_ligand	700.681885	77.154622	908.152832	10553.450195	10060.239258
1c5x_protein	1c5x_ligand	234.472107	70.716719	331.565308	12216.433594	12079.054688
1c5y_protein	1c5y_ligand	207.341461	71.891590	288.408508	12125.995117	11999.720703
1ceb_protein	1ceb_ligand	191.494003	63.161331	303.182343	4759.760254	4679.954590
1c83_protein	1c83_ligand	228.115402	64.987911	351.012054	14217.770508	14112.551758
1c86_protein	1c86_ligand	250.163681	66.317725	377.219940	14125.729492	14002.622070
1c84_protein	1c84_ligand	247.718216	65.077803	380.649323	13992.675781	13877.888672
1c87_protein	1c87_ligand	230.065338	61.990223	371.131653	14046.772461	13957.773438
1c88_protein	1c88_ligand	247.450317	65.722961	376.505127	14042.770508	13924.375000
1d3d_protein	1d3d_ligand	500.182037	60.720211	823.748840	13836.591797	13659.976562
1d3p_protein	1d3p_ligand	511.345123	61.568669	830.528137	13984.430664	13792.268555
1d4h_protein	1d4h_ligand	666.955414	79.827688	835.493835	10726.579102	10228.162109
1d4i_protein	1d4i_ligand	679.221527	80.407201	844.727234	10713.940430	10200.224609
1d4k_protein	1d4k_ligand	692.372467	77.108587	897.918762	10383.688477	9896.862305
1d4j_protein	1d4j_ligand	676.995789	80.760135	838.279663	10719.321289	10203.609375
1d4l_protein	1d4l_ligand	604.077148	76.669228	787.900391	10468.305664	10048.051758
1d4p_protein	1d4p_ligand	401.566223	70.309083	571.144165	13941.982422	13709.994141
1d7i_protein	1d7i_ligand	154.965424	64.251749	241.184753	6253.635254	6184.889160
1d4y_protein	1d4y_ligand	589.134552	76.657439	768.528870	10190.291016	9780.550781
1d7j_protein	1d7j_ligand	139.393883	67.016078	208.000656	6152.214844	6081.427734
1d6w_protein	1d6w_ligand	468.744232	68.376475	685.534363	13252.688477	13000.734375
1det_protein	1det_ligand	192.855240	41.770839	461.698273	5761.124023	5837.111816
1d9i_protein	1d9i_ligand	442.691010	68.806449	643.385925	13819.187500	13577.191406
1cet_protein	1cet_ligand	242.893188	46.101301	526.868408	46318.511719	46359.593750
1dgm_protein	1dgm_ligand	245.361267	63.218525	388.116089	16302.794922	16200.188477
1df8_protein	1df8_ligand	288.333374	73.840526	390.481201	20569.773438	20383.587891
1dhi_protein	1dhi_ligand	383.806702	60.558964	633.773560	16888.416016	16754.576172
1dar_protein	1dar_ligand	290.779114	56.924647	510.814087	30960.255859	30889.511719
1dif_protein	1dif_ligand	731.752594	76.081644	961.799133	10665.920898	10164.214844
1dhj_protein	1dhj_ligand	391.964172	62.190832	630.260376	16903.117188	16749.449219
1dl7_protein	1dl7_ligand	305.087967	65.936821	462.697418	11340.098633	11192.620117
1dmp_protein	1dmp_ligand	540.052612	76.478439	706.150146	10241.177734	9867.222656
1d2e_protein	1d2e_ligand	316.045654	59.987887	526.849121	75715.125000	75609.882812
1dqn_protein	1dqn_ligand	312.911179	66.631381	469.615326	23281.265625	23125.058594
1e1v_protein	1e1v_ligand	302.840622	73.471465	412.188080	15186.021484	14992.528320
1e1x_protein	1e1x_ligand	302.116669	72.285845	417.947205	15355.417969	15169.131836
1dud_protein	1dud_ligand	283.433228	59.828180	473.745361	18402.357422	18309.236328
1e3v_protein	1e3v_ligand	325.755768	60.236055	540.798645	13235.871094	13125.158203
1e3g_protein	1e3g_ligand	344.892899	79.757051	432.429352	13537.503906	13280.147461
1drv_protein	1drv_ligand	527.016571	65.399513	805.841736	47015.273438	46767.082031
1e2k_protein	1e2k_ligand	308.952286	78.695106	392.594025	26639.806641	26414.496094
1e2l_protein	1e2l_ligand	310.900269	79.092630	393.083740	25886.234375	25657.517578
1e5j_protein	1e5j_ligand	422.616699	51.445189	821.489258	12238.130859	12214.386719
1duv_protein	1duv_ligand	293.097031	69.042264	424.518280	36372.226562	36210.550781
1e4h_protein	1e4h_ligand	264.585266	81.413634	324.988892	21109.095703	20904.914062
1eb2_protein	1eb2_ligand	392.711914	56.472698	695.401367	9906.603516	9816.581055
1ebw_protein	1ebw_ligand	668.803467	77.714940	860.585449	10519.206055	10042.184570
1eby_protein	1eby_ligand	685.341614	79.968335	857.016235	10771.091797	10257.424805
1ebz_protein	1ebz_ligand	663.588928	79.955259	829.950317	10447.814453	9950.586914
1ec0_protein	1ec0_ligand	683.898651	80.118874	853.604919	10305.990234	9791.797852
1ec1_protein	1ec1_ligand	721.361481	75.087565	960.693665	10456.688477	9974.659180
1ec2_protein	1ec2_ligand	734.993866	74.663715	984.405701	10554.542969	10068.960938
1ec3_protein	1ec3_ligand	724.158966	72.402918	1000.179260	10490.986328	10042.847656
1ecv_protein	1ecv_ligand	229.325439	64.770388	354.059082	14127.333008	14022.741211
1efy_protein	1efy_ligand	280.522537	66.506831	421.795074	17550.142578	17410.892578
1ejn_protein	1ejn_ligand	360.516144	66.627651	541.090881	12597.269531	12417.328125
1e66_protein	1e66_ligand	359.684174	78.694546	457.063660	41886.902344	41624.597656
1ela_protein	1ela_ligand	367.794830	56.574231	650.110168	11379.393555	11293.914062
1elb_protein	1elb_ligand	349.311218	55.858516	625.349976	11346.702148	11273.429688
1elc_protein	1elc_ligand	442.704559	59.541836	743.518494	11420.589844	11278.699219
1eld_protein	1eld_ligand	355.929077	58.294271	610.572998	11386.293945	11285.008789
1egh_protein	1egh_ligand	157.050095	66.538227	236.029877	35145.152344	35067.082031
1ex8_protein	1ex8_ligand	571.807007	67.605967	845.793701	8943.668945	8645.848633
1ele_protein	1ele_ligand	354.134094	61.574773	575.128540	11465.522461	11332.382812
1epo_protein	1epo_ligand	578.970581	67.936637	852.221436	14367.346680	14061.626953
1ez9_protein	1ez9_ligand	399.665039	51.991326	768.714844	17200.082031	17169.466797
1ezq_protein	1ezq_ligand	472.301331	65.011020	726.494263	14994.594727	14776.486328
1f0r_protein	1f0r_ligand	390.091949	64.075127	608.804016	14931.415039	14760.035156
1f0s_protein	1f0s_ligand	374.978790	65.193821	575.175354	14917.910156	14743.127930
1f0t_protein	1f0t_ligand	346.098999	57.439930	602.540771	10087.545898	9997.888672
1f0u_protein	1f0u_ligand	392.893250	54.918573	715.410522	10029.071289	9958.695312
1ec9_protein	1ec9_ligand	197.459854	66.687897	296.095490	64106.308594	64007.484375
1ecq_protein	1ecq_ligand	197.289780	65.906257	299.349091	64898.378906	64803.148438
1f5k_protein	1f5k_ligand	178.110741	71.167625	250.269333	12898.462891	12792.510742
1f4e_protein	1f4e_ligand	272.591293	66.541317	409.657196	23818.138672	23682.613281
1f4x_protein	1f4x_ligand	258.332855	57.459712	449.589539	20269.886719	20202.810547
1f5l_protein	1f5l_ligand	231.088608	66.040524	349.919403	12165.636719	12053.378906
1f4f_protein	1f4f_ligand	361.390930	62.521359	578.027954	22991.130859	22846.376953
1f4g_protein	1f4g_ligand	449.391357	66.407644	676.716309	23215.937500	22993.871094
1f73_protein	1f73_ligand	280.072464	61.993954	451.773834	45543.523438	45435.152344
1f74_protein	1f74_ligand	272.809799	60.128229	453.713348	45480.589844	45388.683594
1fao_protein	1fao_ligand	266.556244	53.226504	500.796082	6477.459473	6445.143066
1f8b_protein	1f8b_ligand	282.707275	65.752374	429.957520	52703.199219	52567.742188
1f8c_protein	1f8c_ligand	287.837921	66.183892	434.906311	52666.722656	52525.953125
