Receptor	Ligand	DSX_Score_pK	PCS	tors_score	sas_score	hb_scor
1afk_protein	1afk_ligand	-98.731	-0.175	0.000	0.000	0.000	
1afl_protein	1afl_ligand	-80.935	-0.133	0.000	0.000	0.000	
1a99_protein	1a99_ligand	-47.415	-0.176	0.000	0.000	0.000	
1aaq_protein	1aaq_ligand	-175.173	-0.195	0.000	0.000	0.000	
1a9q_protein	1a9q_ligand	-53.285	-0.166	0.000	0.000	0.000	
1a94_protein	1a94_ligand	-245.069	-0.206	0.000	0.000	0.000	
1adl_protein	1adl_ligand	-98.761	-0.216	0.000	0.000	0.000	
1a9m_protein	1a9m_ligand	-185.094	-0.194	0.000	0.000	0.000	
1a28_protein	1a28_ligand	-142.540	-0.238	0.000	0.000	0.000	
1a69_protein	1a69_ligand	-99.149	-0.165	0.000	0.000	0.000	
1a4w_protein	1a4w_ligand	-149.522	-0.193	0.000	0.000	0.000	
1a4r_protein	1a4r_ligand	-115.779	-0.168	0.000	0.000	0.000	
1a30_protein	1a30_ligand	-106.796	-0.172	0.000	0.000	0.000	
1a1e_protein	1a1e_ligand	-115.126	-0.198	0.000	0.000	0.000	
1ado_protein	1ado_ligand	-24.860	-0.090	0.000	0.000	0.000	
1ajv_protein	1ajv_ligand	-249.410	-0.234	0.000	0.000	0.000	
1alw_protein	1alw_ligand	-41.137	-0.159	0.000	0.000	0.000	
1amw_protein	1amw_ligand	-75.084	-0.141	0.000	0.000	0.000	
1ai4_protein	1ai4_ligand	-53.134	-0.147	0.000	0.000	0.000	
1ax0_protein	1ax0_ligand	-76.915	-0.205	0.000	0.000	0.000	
1b0h_protein	1b0h_ligand	-225.226	-0.213	0.000	0.000	0.000	
1apv_protein	1apv_ligand	-158.228	-0.198	0.000	0.000	0.000	
1ajx_protein	1ajx_ligand	-227.022	-0.245	0.000	0.000	0.000	
1ajq_protein	1ajq_ligand	-59.554	-0.191	0.000	0.000	0.000	
1aj7_protein	1aj7_ligand	-78.658	-0.145	0.000	0.000	0.000	
1amk_protein	1amk_ligand	-45.057	-0.133	0.000	0.000	0.000	
1atr_protein	1atr_ligand	-147.178	-0.170	0.000	0.000	0.000	
1b4h_protein	1b4h_ligand	-157.439	-0.203	0.000	0.000	0.000	
1ai7_protein	1ai7_ligand	-43.016	-0.176	0.000	0.000	0.000	
1b4z_protein	1b4z_ligand	-167.400	-0.200	0.000	0.000	0.000	
1b2h_protein	1b2h_ligand	-178.283	-0.214	0.000	0.000	0.000	
1b3h_protein	1b3h_ligand	-200.940	-0.221	0.000	0.000	0.000	
1b5h_protein	1b5h_ligand	-167.113	-0.214	0.000	0.000	0.000	
1b6j_protein	1b6j_ligand	-220.794	-0.212	0.000	0.000	0.000	
1b3f_protein	1b3f_ligand	-189.131	-0.210	0.000	0.000	0.000	
1b6k_protein	1b6k_ligand	-221.681	-0.227	0.000	0.000	0.000	
1b05_protein	1b05_ligand	-165.565	-0.213	0.000	0.000	0.000	
1b6l_protein	1b6l_ligand	-190.894	-0.220	0.000	0.000	0.000	
1b5i_protein	1b5i_ligand	-167.919	-0.205	0.000	0.000	0.000	
1b8n_protein	1b8n_ligand	-114.759	-0.190	0.000	0.000	0.000	
1b5j_protein	1b5j_ligand	-179.520	-0.209	0.000	0.000	0.000	
