Receptor	Ligand	DV20_Score_pK
1a4w_protein	1a4w_ligand	6.540000
1afk_protein	1afk_ligand	5.080000
1a30_protein	1a30_ligand	4.830000
1aaq_protein	1aaq_ligand	6.900000
1a9m_protein	1a9m_ligand	7.210000
1adl_protein	1adl_ligand	6.510000
1a1e_protein	1a1e_ligand	5.150000
1a94_protein	1a94_ligand	7.360000
1add_protein	1add_ligand	5.940000
1a28_protein	1a28_ligand	8.860000
1a4r_protein	1a4r_ligand	4.920000
1a99_protein	1a99_ligand	4.590000
1a4k_protein	1a4k_ligand	6.570000
1a9q_protein	1a9q_ligand	4.020000
1afl_protein	1afl_ligand	3.010000
1aid_protein	1aid_ligand	5.490000
1ajx_protein	1ajx_ligand	8.540000
1ajv_protein	1ajv_ligand	8.570000
1aj7_protein	1aj7_ligand	4.610000
1a69_protein	1a69_ligand	5.230000
1alw_protein	1alw_ligand	3.680000
1ai4_protein	1ai4_ligand	3.530000
1ajq_protein	1ajq_ligand	3.710000
1ai7_protein	1ai7_ligand	3.660000
1ajn_protein	1ajn_ligand	3.700000
1ajp_protein	1ajp_ligand	3.560000
1ado_protein	1ado_ligand	4.170000
1ai5_protein	1ai5_ligand	4.300000
1apv_protein	1apv_ligand	8.210000
1amw_protein	1amw_ligand	4.170000
1amk_protein	1amk_ligand	2.820000
1avn_protein	1avn_ligand	1.120000
1atl_protein	1atl_ligand	4.700000
1atr_protein	1atr_ligand	5.380000
1ax0_protein	1ax0_ligand	3.620000
1azm_protein	1azm_ligand	5.390000
1b0h_protein	1b0h_ligand	7.230000
1b1h_protein	1b1h_ligand	6.930000
1b2h_protein	1b2h_ligand	5.750000
1b3f_protein	1b3f_ligand	6.340000
1b3h_protein	1b3h_ligand	6.680000
1b3l_protein	1b3l_ligand	6.070000
1b4h_protein	1b4h_ligand	5.710000
1b3g_protein	1b3g_ligand	6.560000
1b5h_protein	1b5h_ligand	5.780000
1b4z_protein	1b4z_ligand	5.810000
1b5i_protein	1b5i_ligand	6.670000
1b5j_protein	1b5j_ligand	6.920000
1b6j_protein	1b6j_ligand	8.650000
1b05_protein	1b05_ligand	6.360000
1b6k_protein	1b6k_ligand	8.440000
1b6h_protein	1b6h_ligand	6.940000
1b6l_protein	1b6l_ligand	8.450000
1b8y_protein	1b8y_ligand	8.010000
1b8n_protein	1b8n_ligand	6.980000
1b8o_protein	1b8o_ligand	6.990000
1b38_protein	1b38_ligand	4.990000
1b7h_protein	1b7h_ligand	6.540000
1bai_protein	1bai_ligand	7.280000
1b9j_protein	1b9j_ligand	6.700000
1b32_protein	1b32_ligand	6.490000
1b46_protein	1b46_ligand	6.480000
1b40_protein	1b40_ligand	6.930000
1b51_protein	1b51_ligand	6.530000
1b52_protein	1b52_ligand	6.710000
1bcd_protein	1bcd_ligand	6.020000
1b58_protein	1b58_ligand	7.020000
1b57_protein	1b57_ligand	5.380000
1bcu_protein	1bcu_ligand	4.950000
1bhf_protein	1bhf_ligand	4.980000
1b55_protein	1b55_ligand	5.940000
1bdq_protein	1bdq_ligand	7.940000
1bgq_protein	1bgq_ligand	7.090000
1bju_protein	1bju_ligand	5.960000
1bhx_protein	1bhx_ligand	7.340000
1bjv_protein	1bjv_ligand	5.820000
1bma_protein	1bma_ligand	5.830000
1bn1_protein	1bn1_ligand	7.560000
1bn3_protein	1bn3_ligand	7.120000
1bn4_protein	1bn4_ligand	6.930000
1bm7_protein	1bm7_ligand	6.690000
1bnn_protein	1bnn_ligand	7.310000
1bnq_protein	1bnq_ligand	7.330000
1bnt_protein	1bnt_ligand	9.140000
1bnu_protein	1bnu_ligand	8.220000
1bnv_protein	1bnv_ligand	6.560000
1bnw_protein	1bnw_ligand	5.690000
1bty_protein	1bty_ligand	4.180000
1bv7_protein	1bv7_ligand	10.350000
1br6_protein	1br6_ligand	6.450000
1bv9_protein	1bv9_ligand	9.860000
1bwa_protein	1bwa_ligand	9.670000
1bp0_protein	1bp0_ligand	5.660000
1bwb_protein	1bwb_ligand	10.040000
1bxo_protein	1bxo_ligand	8.610000
1bxq_protein	1bxq_ligand	7.530000
1bzc_protein	1bzc_ligand	6.930000
1c1r_protein	1c1r_ligand	7.030000
1bzj_protein	1bzj_ligand	6.720000
1c1u_protein	1c1u_ligand	6.830000
1bq4_protein	1bq4_ligand	5.020000
1c1v_protein	1c1v_ligand	6.150000
1c4u_protein	1c4u_ligand	7.530000
1c5p_protein	1c5p_ligand	4.460000
1c5n_protein	1c5n_ligand	4.510000
1c5o_protein	1c5o_ligand	3.490000
1c5q_protein	1c5q_ligand	5.780000
1c5c_protein	1c5c_ligand	6.550000
1c5s_protein	1c5s_ligand	5.570000
1c5t_protein	1c5t_ligand	5.060000
1bzy_protein	1bzy_ligand	7.270000
1bxr_protein	1bxr_ligand	4.390000
1c5x_protein	1c5x_ligand	5.700000
1c70_protein	1c70_ligand	9.530000
1c5y_protein	1c5y_ligand	4.910000
1c3x_protein	1c3x_ligand	3.250000
1c83_protein	1c83_ligand	5.680000
1c84_protein	1c84_ligand	5.500000
1ceb_protein	1ceb_ligand	4.820000
1c86_protein	1c86_ligand	5.170000
1cgl_protein	1cgl_ligand	6.070000
1c87_protein	1c87_ligand	4.770000
1c88_protein	1c88_ligand	5.440000
1ciz_protein	1ciz_ligand	8.030000
1cbx_protein	1cbx_ligand	4.870000
1cnx_protein	1cnx_ligand	6.150000
1cnw_protein	1cnw_ligand	5.960000
1cny_protein	1cny_ligand	5.280000
1cps_protein	1cps_ligand	4.640000
1d4h_protein	1d4h_ligand	8.900000
1d3d_protein	1d3d_ligand	7.510000
1ctu_protein	1ctu_ligand	9.270000
1ctt_protein	1ctt_ligand	6.910000
1d3p_protein	1d3p_ligand	7.030000
1d4i_protein	1d4i_ligand	9.170000
1d4l_protein	1d4l_ligand	8.590000
1d4j_protein	1d4j_ligand	8.660000
1d4k_protein	1d4k_ligand	9.060000
1d4p_protein	1d4p_ligand	7.680000
1d4y_protein	1d4y_ligand	8.470000
1d7i_protein	1d7i_ligand	2.390000
1d6w_protein	1d6w_ligand	5.760000
1cet_protein	1cet_ligand	3.770000
1d6v_protein	1d6v_ligand	6.610000
1d7j_protein	1d7j_ligand	2.240000
1det_protein	1det_ligand	4.070000
1d9i_protein	1d9i_ligand	6.100000
1dhj_protein	1dhj_ligand	6.500000
1dhi_protein	1dhi_ligand	6.050000
1dgm_protein	1dgm_ligand	4.280000
1dl7_protein	1dl7_ligand	3.350000
1dif_protein	1dif_ligand	10.140000
1dmp_protein	1dmp_ligand	9.470000
1df8_protein	1df8_ligand	6.790000
1dar_protein	1dar_ligand	4.380000
1drj_protein	1drj_ligand	6.430000
1drk_protein	1drk_ligand	6.120000
1dqn_protein	1dqn_ligand	6.010000
1dud_protein	1dud_ligand	4.970000
1d2e_protein	1d2e_ligand	5.970000
1dzk_protein	1dzk_ligand	3.770000
1e1v_protein	1e1v_ligand	4.810000
1e1x_protein	1e1x_ligand	5.250000
1e3g_protein	1e3g_ligand	8.920000
1e3v_protein	1e3v_ligand	4.690000
1dy4_protein	1dy4_ligand	5.210000
1e5j_protein	1e5j_ligand	4.090000
1e2k_protein	1e2k_ligand	5.430000
1e2l_protein	1e2l_ligand	5.400000
1drv_protein	1drv_ligand	4.990000
1e4h_protein	1e4h_ligand	6.890000
1eb2_protein	1eb2_ligand	6.000000
1duv_protein	1duv_ligand	7.620000
1ebw_protein	1ebw_ligand	8.600000
1eby_protein	1eby_ligand	8.780000
1ec0_protein	1ec0_ligand	9.060000
1ebz_protein	1ebz_ligand	8.590000
1ec1_protein	1ec1_ligand	8.180000
1ec2_protein	1ec2_ligand	8.540000
1ec3_protein	1ec3_ligand	7.840000
1ecv_protein	1ecv_ligand	5.380000
1e6q_protein	1e6q_ligand	5.620000
1e6s_protein	1e6s_ligand	4.170000
1efy_protein	1efy_ligand	6.620000
1e66_protein	1e66_ligand	8.800000
1ejn_protein	1ejn_ligand	6.650000
1ela_protein	1ela_ligand	6.220000
1elc_protein	1elc_ligand	4.550000
1elb_protein	1elb_ligand	4.380000
1eld_protein	1eld_ligand	4.920000
1elr_protein	1elr_ligand	5.130000
1ele_protein	1ele_ligand	6.320000
1egh_protein	1egh_ligand	4.760000
1erb_protein	1erb_ligand	7.150000
1enu_protein	1enu_ligand	5.430000
1epo_protein	1epo_ligand	7.640000
1ex8_protein	1ex8_ligand	6.270000
1eoc_protein	1eoc_ligand	4.830000
1ezq_protein	1ezq_ligand	8.280000
1f0r_protein	1f0r_ligand	7.260000
1ez9_protein	1ez9_ligand	3.990000
1f0t_protein	1f0t_ligand	6.170000
1f0s_protein	1f0s_ligand	6.800000
1d09_protein	1d09_ligand	7.190000
1f0u_protein	1f0u_ligand	7.260000
1ew8_protein	1ew8_ligand	-0.160000
1ew9_protein	1ew9_ligand	0.750000
1ec9_protein	1ec9_ligand	3.570000
1f3e_protein	1f3e_ligand	4.800000
1ecq_protein	1ecq_ligand	2.560000
1f5k_protein	1f5k_ligand	4.080000
1f4e_protein	1f4e_ligand	4.970000
1f5l_protein	1f5l_ligand	4.900000
1f4x_protein	1f4x_ligand	5.060000
1f4f_protein	1f4f_ligand	5.370000
1f4g_protein	1f4g_ligand	6.430000
1f57_protein	1f57_ligand	3.740000
1fao_protein	1fao_ligand	6.350000
1fcx_protein	1fcx_ligand	10.260000
1fch_protein	1fch_ligand	6.730000
1fcy_protein	1fcy_ligand	10.110000
1fd0_protein	1fd0_ligand	10.600000
1fcz_protein	1fcz_ligand	9.300000
1fh7_protein	1fh7_ligand	5.490000
1fh8_protein	1fh8_ligand	6.050000
1fh9_protein	1fh9_ligand	5.270000
1fhd_protein	1fhd_ligand	5.700000
1fiv_protein	1fiv_ligand	8.060000
1fkb_protein	1fkb_ligand	8.490000
1fkg_protein	1fkg_ligand	6.950000
1fkh_protein	1fkh_ligand	7.090000
1fjs_protein	1fjs_ligand	6.390000
1fkf_protein	1fkf_ligand	8.640000
1f73_protein	1f73_ligand	3.010000
1f74_protein	1f74_ligand	3.530000
1fki_protein	1fki_ligand	8.610000
1f8b_protein	1f8b_ligand	3.730000
1fkw_protein	1fkw_ligand	5.430000
1fkn_protein	1fkn_ligand	6.700000
1f8c_protein	1f8c_ligand	4.660000
1f8d_protein	1f8d_ligand	4.780000
1f8e_protein	1f8e_ligand	5.010000
1fl3_protein	1fl3_ligand	6.470000
1flr_protein	1flr_ligand	9.540000
1fv0_protein	1fv0_ligand	6.020000
1ftm_protein	1ftm_ligand	6.300000
1fpc_protein	1fpc_ligand	6.840000
1ft7_protein	1ft7_ligand	2.410000
1fq5_protein	1fq5_ligand	9.000000
1fm9_protein	1fm9_ligand	8.630000
1fzq_protein	1fzq_ligand	6.640000
1fzj_protein	1fzj_ligand	7.000000
1fo0_protein	1fo0_ligand	6.690000
1g2k_protein	1g2k_ligand	8.420000
1g1d_protein	1g1d_ligand	5.930000
1fzk_protein	1fzk_ligand	7.710000
1fzm_protein	1fzm_ligand	7.240000
1fzo_protein	1fzo_ligand	7.800000
1g2l_protein	1g2l_ligand	7.270000
1g3d_protein	1g3d_ligand	5.760000
1g3e_protein	1g3e_ligand	5.440000
1g4o_protein	1g4o_ligand	4.770000
1g7f_protein	1g7f_ligand	5.970000
1g7g_protein	1g7g_ligand	5.440000
1g7q_protein	1g7q_ligand	5.360000
1g7v_protein	1g7v_ligand	3.690000
1g30_protein	1g30_ligand	6.570000
1g35_protein	1g35_ligand	8.430000
1g36_protein	1g36_ligand	6.800000
1g45_protein	1g45_ligand	5.270000
1g32_protein	1g32_ligand	6.630000
1g2o_protein	1g2o_ligand	6.460000
1g46_protein	1g46_ligand	5.240000
1g48_protein	1g48_ligand	5.640000
1g74_protein	1g74_ligand	5.740000
1g52_protein	1g52_ligand	6.010000
1g54_protein	1g54_ligand	6.010000
1g53_protein	1g53_ligand	5.300000
1g85_protein	1g85_ligand	4.050000
1gfy_protein	1gfy_ligand	5.160000
1ghz_protein	1ghz_ligand	5.640000
1ghv_protein	1ghv_ligand	5.690000
1gi1_protein	1gi1_ligand	5.140000
1gaf_protein	1gaf_ligand	6.270000
1ghw_protein	1ghw_ligand	4.790000
1gar_protein	1gar_ligand	7.430000
1gi4_protein	1gi4_ligand	6.630000
1ghy_protein	1ghy_ligand	6.200000
1gai_protein	1gai_ligand	6.620000
1gi7_protein	1gi7_ligand	5.550000
1gj6_protein	1gj6_ligand	6.710000
1gnm_protein	1gnm_ligand	5.770000
1gjc_protein	1gjc_ligand	6.300000
1gnn_protein	1gnn_ligand	5.650000
1gno_protein	1gno_ligand	5.740000
1g98_protein	1g98_ligand	4.060000
1gyx_protein	1gyx_ligand	3.640000
1gyy_protein	1gyy_ligand	3.800000
1gvw_protein	1gvw_ligand	7.140000
1gvx_protein	1gvx_ligand	7.020000
