Receptor	Ligand	Score(pK)	stdev	Best	NN#1	NN#2	NN#3	NN#4	NN#5	NN#6	NN#7	NN#8	NN#9	NN#10	NN#11	NN#12	NN#13	NN#14	NN#15	NN#16	NN#17	NN#18	NN#19	NN#20
1a28_protein	1a28_ligand	8.231	0.869	9.372	8.227	6.827	9.173	7.053	9.372	7.12	6.484	8.545	8.432	8.943	8.981	8.864	7.258	8.523	8.415	8.796	7.756	8.87	9.098		
1afk_protein	1afk_ligand	6.86	4.738	18.289	7.647	18.289	10.403	0.994	4.584	5.406	14.005	8.245	6.226	4.693	3.649	10.551	6.215	-1.018	-1.673	6.148	7.128	9.834	10.381		
1afl_protein	1afl_ligand	7.845	3.683	16.729	14.477	8.371	6.683	7.477	4.882	6.774	7.738	3.573	9.689	7.069	9.245	8.535	8.475	-1.358	7.643	5.437	10.49	7.12	16.729		
1a30_protein	1a30_ligand	2.951	2.395	7.352	1.598	0.768	1.424	7.146	2.213	3.176	5.635	-0.737	5.29	0.675	2.582	7.352	0.271	2.289	0.923	3.033	1.416	5.628	2.335		
1adl_protein	1adl_ligand	5.754	1.118	7.925	7.686	4.256	7.925	5.672	6.487	5.958	7.222	5.289	4.601	5.305	4.169	5.202	5.467	5.617	6.412	4.047	5.494	6.707	4.974		
1a4w_protein	1a4w_ligand	6.448	3.379	11.538	7.106	3.294	10.619	8.43	10.577	7.428	11.538	4.423	3.921	7.126	8.608	6.152	5.757	5.197	2.954	-2.895	3.338	7.997	7.705		
1aaq_protein	1aaq_ligand	7.748	0.95	9.679	8.757	8.338	7.19	7.664	9.073	7.211	8.419	8.149	7.593	7.759	7.794	5.742	9.679	7.04	8.694	8.179	7.107	6.987	6.231		
1a1e_protein	1a1e_ligand	7.948	2.531	12.934	5.454	6.905	12.934	6.687	7.623	7.637	11.083	8.701	2.353	8.388	6.109	6.628	6.149	7.404	12.749	6.786	8.034	8.993	11.254		
1a9m_protein	1a9m_ligand	6.37	1.621	10.363	7.535	4.19	3.24	7.404	6.66	6.175	10.363	8.696	5.751	4.86	5.16	6.733	7.403	6.978	7.451	5.667	5.252	7.161	5.679		
1a94_protein	1a94_ligand	7.962	3.038	18.144	7.427	5.163	6.826	6.323	7.193	6.313	13.333	9.944	7.854	18.144	7.735	8.341	7.363	6.814	8.594	5.621	4.659	8.551	6.142		
1a4r_protein	1a4r_ligand	5.31	2.296	11.997	3.483	11.997	5.545	3.885	6.55	5.438	2.988	3.311	4.975	0.979	4.643	5.947	4.606	6.567	4.788	9.277	5.058	5.267	6.218		
1a99_protein	1a99_ligand	6.009	2.598	11.514	5.553	11.514	7.154	5.686	8.004	8.201	6.795	0.443	6.042	2.538	6.403	2.273	6.083	7.056	4.557	5.283	4.795	5.216	10.894		
1ai4_protein	1ai4_ligand	4.158	1.579	8.494	3.492	3.991	4.994	3.172	4.633	4.525	2.019	4.056	2.599	4.683	8.494	3.693	4.35	2.845	4.869	1.718	6.41	2.489	5.713		
1a9q_protein	1a9q_ligand	4.513	1.977	7.689	7.689	4.538	5.38	4.765	4.866	3.99	4.739	3.432	4.953	6.331	3.232	5.502	6.287	3.696	-0.3	1.338	5.211	5.735	7.322		
1aid_protein	1aid_ligand	4.385	2.591	9.208	6.934	9.208	5.992	4.191	2.367	-0.243	3.64	5.032	2.057	2.776	7.728	4.441	5.52	5.161	4.104	3.267	2.411	-0.209	8.995		
1ajv_protein	1ajv_ligand	7.148	2.567	10.151	9.252	8.158	8.573	10.151	9.029	8.46	7.06	8.794	8.113	1.768	8.283	1.319	3.258	3.458	8.709	8.958	7.496	8.14	6.986		
1alw_protein	1alw_ligand	4.224	2.759	14.021	0.758	14.021	5.832	2.257	4.863	3.719	2.957	4.116	3.408	3.349	5.061	3.786	5.14	3.126	6.561	5.246	3.906	2.376	3.342		
1ajx_protein	1ajx_ligand	8.208	0.559	9.417	9.026	7.749	8.293	7.785	7.926	7.821	8.561	8.677	8.221	7.568	8.163	9.417	8.662	8.652	8.734	8.041	8.375	7.561	7.738		
1aj7_protein	1aj7_ligand	5.537	2.003	9.218	6.937	5.625	6.139	5.952	1.565	4.979	2.692	2.806	6.168	5.03	3.535	8.649	6.072	5.203	5.276	6.1	3.589	8.336	9.218		
1amk_protein	1amk_ligand	5.721	3.575	16.668	6.483	11.67	4.67	2.855	4.171	8.347	5.803	4.398	16.668	3.489	6.001	2.778	3.453	5.881	2.94	1.869	4.299	2.752	9.441		
1amw_protein	1amw_ligand	2.09	0.965	3.937	3.531	0.713	1.542	0.822	2.105	1.528	1.788	2.73	2.431	3.571	0.532	2.091	2.352	3.218	1.552	1.816	1.135	3.937	1.881		
1ai5_protein	1ai5_ligand	4.657	1.104	6.999	6.017	4.286	6.999	5.794	4.312	5.127	2.388	4.635	4.622	4.336	2.829	3.887	4.049	5.742	5.614	3.439	5.248	5.202	4.19		
1ai7_protein	1ai7_ligand	3.301	1.789	6.777	2.198	4.272	5.177	3.719	2.942	3.762	4.196	-1.243	4.898	2.547	2.844	4.003	0.193	3.824	6.777	3.983	2.767	3.688	4.444		
1ajq_protein	1ajq_ligand	3.859	1.612	7.454	1.678	4.711	4.739	3.281	5.542	4.335	3.17	4.991	4.433	1.755	2.623	0.605	5.076	2.318	5.336	4.792	7.454	4.148	3.011		
1ajn_protein	1ajn_ligand	3.456	1.288	6.07	3.177	2.781	5.562	5.574	1.772	4.054	2.169	4.72	4.323	3.509	2.435	4.075	2.738	3.32	2.248	3.324	3.245	6.07	2.444		
1ajp_protein	1ajp_ligand	4.081	1.305	6.736	1.986	4.706	6.516	4.363	4.977	3.263	2.522	2.982	2.897	4.269	6.736	4.745	4.1	4.389	3.337	5.128	2.994	2.188	4.981		
1atr_protein	1atr_ligand	3.719	2.139	8.547	5.379	3.001	3.383	3.513	3.308	1.876	3.294	0.23	2.403	0.771	3.068	3.517	7.015	3.73	4.674	3.514	6.376	0.719	8.547		
1apv_protein	1apv_ligand	7.403	4.467	16.546	13.311	10.5	14.533	6.4	0.268	10.395	5.39	16.546	6.305	10.882	5.283	8.885	3.302	10.751	2.092	5.093	5.824	2.501	7.591		
1ax0_protein	1ax0_ligand	3.5	1.761	6.528	3.769	5.262	0.348	1.436	3.833	1.838	2.998	4.082	2.087	4.781	3.801	5.089	6.339	1.661	3.234	0.512	6.528	4.949	3.632		
1ado_protein	1ado_ligand	3.22	2.575	11.527	4.448	-0.604	2.19	3.749	1.298	0.846	3.78	4.001	-0.431	2.585	4.983	3.587	1.856	3.67	4.591	11.527	1.269	2.079	4.552		
1a69_protein	1a69_ligand	4.958	2.889	12.707	3.148	7.303	8.164	3.738	4.241	5.071	3.948	2.789	6.664	5.05	5.684	5.534	0.903	2.536	1.704	5.649	7.947	0.075	6.312		
1b3g_protein	1b3g_ligand	6.735	1.823	10.581	7.863	6.116	6.323	4.7	7.55	5.942	8.681	7.087	6.181	7.208	8.892	6.838	5.645	2.4	8.581	4.175	7.511	5.548	10.581		
1b1h_protein	1b1h_ligand	6.437	2.789	11.085	7.984	8.229	5.994	0.816	7.533	5.927	8.709	7.076	5.829	7.208	7.37	6.61	6.587	5.496	8.611	-2.076	7.322	5.551	11.085		
