ligand,pK(vina)
1a9m_ligand,5.460528
1a1e_ligand,4.217273
1a28_ligand,7.942383
1a4w_ligand,5.762031
1a4r_ligand,4.92967
1a9q_ligand,3.278526
1a30_ligand,3.664707
1a94_ligand,5.362163
1aaq_ligand,4.732067
1a99_ligand,2.900213
1adl_ligand,4.052309
1afk_ligand,3.882874
1afl_ligand,1.009201
1a69_ligand,5.327969
1aid_ligand,4.839846
1aj7_ligand,4.127038
1ai4_ligand,3.594113
1ai7_ligand,3.400806
1ado_ligand,2.746716
1ajv_ligand,8.436085
1ajp_ligand,3.577185
1ajx_ligand,8.2211
1ajq_ligand,3.569758
1alw_ligand,2.8575
1amk_ligand,1.032104
1amw_ligand,3.975169
1apv_ligand,5.974619
1atr_ligand,6.812676
1ax0_ligand,3.778842
1b0h_ligand,6.967588
1b1h_ligand,6.308805
1b2h_ligand,5.81846
1b3g_ligand,5.577918
1b3h_ligand,6.075337
1b3f_ligand,5.572163
1b3l_ligand,4.970711
1b4h_ligand,5.076188
1b4z_ligand,5.711158
1b5h_ligand,5.032148
1b5i_ligand,5.535154
1b5j_ligand,5.911034
1b05_ligand,4.867412
1b6j_ligand,8.204787
1b6h_ligand,5.489685
1b6k_ligand,7.836063
1b6l_ligand,8.221364
1b8n_ligand,6.337595
1b7h_ligand,5.425836
1b8o_ligand,6.182119
1b38_ligand,5.616576
1b9j_ligand,5.762793
1b32_ligand,5.485828
1b40_ligand,6.383644
1b46_ligand,6.098585
1bai_ligand,5.005557
1b51_ligand,5.259223
1b52_ligand,5.444934
1b58_ligand,6.530711
1bcu_ligand,4.816122
1bdq_ligand,6.749333
1bhf_ligand,4.299047
1bgq_ligand,5.799201
1bhx_ligand,6.370924
1bju_ligand,5.669443
1bjv_ligand,5.310799
1bma_ligand,4.872221
1bm7_ligand,4.833402
1br6_ligand,5.811393
1bty_ligand,3.652155
1bp0_ligand,5.077757
1bv7_ligand,9.975007
1bv9_ligand,9.655337
1bq4_ligand,3.769054
1bwa_ligand,9.592815
1bwb_ligand,9.973431
1bxo_ligand,7.973519
1bxq_ligand,5.794817
1bzj_ligand,6.076415
1c4u_ligand,5.705044
1bxr_ligand,6.01272
1c3x_ligand,2.717669
1c5c_ligand,6.239699
1bzy_ligand,6.788109
1c5n_ligand,3.650828
1c5o_ligand,3.390982
1c5p_ligand,3.855469
1c5q_ligand,4.692933
1c5s_ligand,4.525938
1c5t_ligand,4.5211
1c5x_ligand,4.483028
1c70_ligand,8.3561
1c5y_ligand,4.535359
1c83_ligand,5.450733
1c84_ligand,5.473152
1c86_ligand,4.670894
1c87_ligand,4.289626
1ceb_ligand,3.151327
1c88_ligand,5.004113
1d3d_ligand,6.559831
1d3p_ligand,6.377881
1d4h_ligand,8.509677
1d4i_ligand,8.970059
1d4j_ligand,8.432815
1cet_ligand,3.307918
1d4k_ligand,7.993204
1d4l_ligand,7.595469
1d2e_ligand,6.212625
